title,vegetarian,vegan,glutenFree,dairyFree,ingredients,sustainable,veryHealthy,lowFodmap,ketogenic,healthScore,percentProtein,percentFat,percentCarbs,calories,Fat/g,Vitamin E/mg,Carbohydrates/g,Magnesium/mg,Cholesterol/mg,Zinc/mg,Sodium/mg,Copper/mg,Sugar/g,Fiber/g,Alcohol/g,Diabetes,High Protein,High Fat,Low Carbohydrate,Obesity,BP,Heart
Salt-Baked Sea Bass,0,0,1,1,"fennel seeds,garlic cloves,kosher salt,lemon juice,olive oil,bell pepper,red snappers,table salt,thyme,tomato,water",0,1,0,0,100.0,58.0,30.84,11.16,683.06,23.09,7.65,18.8,248.39,167.83,3.09,132367.09,0.53,4.16,10.76,0.0,1,1,0,1,1,0,0
Chilean Sea Bass With Grilled Mango Salsa,0,0,1,1,"chilean sea bass,cilantro,extra virgin olive oil,fish,green onions,jalapeno peppers,juice of lime,mangoes,olive oil,red peppers,salsa,sea-salt",0,0,0,0,18.0,15.01,62.08,22.91,457.8,32.48,4.71,26.97,26.91,58.71,0.34,489.94,0.2,22.33,4.01,0.0,0,0,1,0,0,1,1
Seared Bass with Cauliflower Duo,0,0,1,1,"cauliflower,lemon juice,mahi-mahi,olive oil,salad mix,top blade steak,vegetable oil",0,0,0,0,47.0,27.5,68.32,4.18,692.06,54.07,3.53,7.44,67.36,161.19,18.25,242.26,0.29,2.35,2.29,0.0,1,1,1,1,0,1,1
Grilled Striped Bass with Plums and Potato-Mushroom Papillotes,0,0,1,1,"balsamic vinegar,fingerling potatoes,olive oil,oyster mushrooms,purple plums,rosemary,salt and pepper,striped bass,tamari,watercress",0,1,0,0,60.0,35.01,33.47,31.52,400.66,15.0,1.7,31.77,111.47,136.08,1.54,580.95,0.36,8.74,4.78,0.0,0,1,0,0,1,1,1
Herb-roasted Sea Bass With Salsa Verde,0,0,1,1,"fresh parsley,fresh thyme,lemon juice,olive oil,oregano,salsa verde,sea bass fillets",0,0,1,0,40.0,52.06,44.06,3.88,321.31,15.17,1.47,3.01,94.2,181.44,0.95,387.39,0.08,2.16,0.41,0.0,1,1,0,1,1,1,1
Roasted Sea Bass with Summer Squash,0,0,1,0,"dijon mustard,dill,lemon juice,lemon wedges,olive oil,oregano,plain greek yogurt,plum tomatoes,red onion,salt and pepper,thyme,whole fish,yellow squash,zucchini",0,1,0,0,95.0,72.38,22.37,5.25,509.41,12.78,2.93,6.74,143.78,227.05,1.84,454.08,0.41,3.28,1.88,0.0,1,1,0,1,1,1,1
Grilled Striped Bass with Lemon and Fennel,0,0,1,1,"coarse salt,fennel,garlic cloves,lemon,lemon juice,olive oil,striped bass",0,0,0,0,42.0,54.57,43.53,1.9,457.53,21.48,1.95,2.11,139.02,272.16,1.41,434.84,0.12,0.29,0.48,0.0,1,1,0,1,1,1,1
Sea Bass in Papillote,0,0,1,1,"black pepper,capers,fresh thyme,garlic cloves,grape tomatoes,lemon,olive oil,salt,striped bass",0,1,0,0,57.0,36.57,37.8,25.63,334.89,15.28,2.13,23.33,95.72,136.08,0.96,644.0,0.19,6.77,7.1,0.0,0,1,0,0,1,1,1
Pan-Seared Black Sea Bass with Endives and Grapes,0,0,1,1,"bacon,belgian endives,red grapes,sablefish,salt and pepper,vegetable oil",0,0,1,0,4.0,31.22,59.29,9.49,220.47,14.48,0.72,5.22,26.77,58.68,0.69,640.52,0.07,2.34,1.78,0.0,1,1,1,1,0,1,1
Red Tea Smoked Sea Bass With Cinnamon Caramelized Plums,0,0,0,0,"bread cubes,butter,cinnamon sticks,dark brown sugar,garlic,green onion,ground cinnamon,ground ginger,jam,plum,reduced sodium soy sauce,sea bass fillets,tea,water,white rice",0,0,0,0,0.0,36.57,18.69,44.74,21.28,0.44,0.0,2.37,5.22,8.21,0.0,35.56,0.0,1.15,0.0,0.0,0,1,0,0,1,1,1
Sea Bass With Asparagus,0,0,1,1,"asparagus spears,fish,fresh ginger,low sodium soy sauce,mirin,salt and pepper,shiitake mushrooms,12"" squares of aluminum foil",0,1,0,0,81.0,70.38,13.56,16.06,401.33,6.22,2.45,16.56,123.58,170.1,2.3,1041.5,0.54,7.49,3.63,1.7,1,1,0,1,1,1,1
Super Simple Sea Bass,1,1,1,1,"carrots,fresh ginger,garlic clove,green onions,lemongrass,sake,soy sauce,sugar,?x12? foil",0,0,0,0,14.0,19.12,1.93,78.95,442.22,0.39,0.72,36.31,60.44,0.0,0.8,3075.2,0.2,13.25,3.73,38.64,0,0,0,0,1,1,1
Pan-roasted Sea Bass with Citrus-Heirloom Tomato Vinaigrette,0,0,1,1,"black pepper,bell pepper,fresh thyme,heirloom tomatoes,lemon juice,lemon rind,olive oil,olive oil,parsley,red wine vinegar,salt,sea bass fillets,sea salt,sugar",0,1,1,0,58.0,27.17,62.98,9.85,465.63,32.3,5.42,11.37,83.76,136.08,0.96,609.29,0.1,8.8,2.4,0.0,1,0,1,1,0,1,1
Striped Bass with Sweet Carrots and Cider Glaze,0,0,1,0,"apple cider,carrots,cider vinegar,garlic cloves,olive oil,parsley,rosemary,salt and pepper,striped bass,unsalted butter,vegetable oil",0,0,0,0,29.0,31.84,47.72,20.44,405.42,21.27,2.86,20.5,92.48,143.6,1.14,432.63,0.14,11.05,4.91,0.0,1,1,0,1,1,1,1
Baketard.com - Blog - Giorgio Locatelli's Branzino alla Vernaccia in Crosta Di Pomodoro (Sea Bass with Tomato Crust and Vernaccia Wine),0,0,0,0,"artichokes,branzino,branzino,branzino,bread crumbs,butter,extra virgin olive oil,fish,fish stock,food dye,green olives,heavy cream,juice of lemon,olive oil,parsley,salt and pepper,sea bass,sea bass,sun-dried tomatoes,tomatoes,tomatoes,white onion,white wine,at the same time,get it,oh,thursday,vernaccia",0,1,0,0,77.0,56.44,34.43,9.13,1238.86,45.33,4.39,27.05,451.79,741.53,4.69,1089.56,0.67,9.74,8.4,4.12,1,1,0,1,1,1,1
Steamed Striped Bass With Ginger And Scallions,0,0,1,1,"canola oil,cilantro leaves,fresh ginger,rice,scallions,soy sauce,striped bass",0,0,0,0,44.0,70.8,25.72,3.48,746.52,20.49,0.95,6.23,300.57,544.31,3.08,3490.71,0.32,1.55,1.17,0.0,1,1,0,1,1,1,1
"Pan-roasted Striped Bass With ""ratatouille",0,0,1,1,"cherry tomatoes,eggplants,grapeseed oil,lemon juice,olive oil,Salt & Pepper,shallot,striped bass,yellow summer squash",0,1,0,0,94.0,19.16,40.94,39.9,336.65,16.55,4.85,36.3,125.01,45.36,1.61,251.02,0.52,21.99,16.37,0.0,0,0,0,0,1,1,1
Sea Bass with Tomato and Black Olive Salsa,0,0,1,1,"basil,dill,grape tomatoes,kalamata olives,lemon juice,olive oil,red chile,salt and pepper,sea bass fillets",0,0,1,0,27.0,33.51,62.0,4.49,307.94,21.26,3.25,3.46,65.63,113.4,0.66,735.23,0.11,1.49,1.46,0.0,1,1,1,1,0,1,1
Steamed Striped Bass,0,0,0,1,"bluefish,coarse salt,fresh ginger,ground coriander,orange zest,bell pepper,rice wine,scallions,sesame oil,shells,shiitake mushrooms,soy sauce",0,1,0,0,100.0,46.31,22.94,30.75,1837.88,45.24,1.49,136.45,412.31,531.0,10.41,1255.85,1.07,9.14,8.61,0.81,0,1,0,0,1,1,1
Ginger-Miso Striped Bass in Shiitake Mushroom Broth,0,0,0,1,"fresh cilantro,fresh ginger,green onions,panko,red miso,shiitake mushrooms,striped bass,vegetable oil,water",0,0,0,0,28.0,27.23,57.83,14.94,531.5,34.74,1.19,20.2,106.55,136.08,2.35,1460.77,0.36,4.4,4.13,0.0,1,0,1,1,0,1,1
Sake-Steamed Sea Bass with Ginger and Green Onions,0,0,1,1,"clam juice,fresh cilantro,garlic clove,ginger,green onions,oriental sesame oil,rice,sake,sea bass fillets,sesame seeds,soy sauce",0,0,0,0,27.0,34.68,13.58,51.74,406.3,5.22,0.18,44.69,81.95,113.4,1.27,551.45,0.22,1.52,1.28,7.25,0,1,0,0,1,1,1
Grilled Striped Bass with Orange-Saffron Butter,0,0,1,0,"butter,coarse sea salt,orange juice concentrate,oranges,saffron threads,trout filet,white wine vinegar",0,1,1,0,68.0,45.88,49.28,4.84,847.64,45.42,1.51,10.05,108.86,303.75,3.07,564.99,0.89,8.51,1.53,0.0,1,1,0,1,1,1,1
Sautéed Bass With Mint Pesto And Spiced Carrots,0,0,1,1,"carrots,coarse kosher salt,coriander seeds,cumin seeds,extra virgin olive oil,fennel seeds,fresh mint,fresh mint leaves,fresh thyme,garlic clove,lemon juice,low-salt chicken broth,olive oil,red pepper,striped bass,unsalted pistachios",0,1,0,0,69.0,34.95,51.02,14.03,388.3,22.21,2.79,13.74,97.82,136.08,1.26,391.07,0.26,5.01,4.09,0.0,1,1,1,1,0,1,1
Steamed Sea Bass With Ginger And Shiitakes,0,0,1,1,"cayenne pepper,chile oil,chile oil,fresh cilantro,fresh cilantro,fresh ginger,green onions,sea bass fillets,sea salt,shiitakes,soy sauce",0,0,0,0,46.0,41.69,49.42,8.89,334.18,18.34,2.11,7.43,96.07,136.08,1.46,1939.35,0.2,2.23,2.09,0.0,1,1,0,1,1,1,1
Stuffed Seabass,0,0,1,0,"baby potatoes,butter,capers,fennel,fennel seeds,flat leaf parsley,fresh basil,fresh dill,fresh mint,garlic cloves,lemon,olive oil,seabass,tea bags,tomato and basil sauce,white wine",0,1,0,0,76.0,38.87,39.64,21.49,1237.64,51.98,3.06,63.41,331.28,530.17,3.54,986.84,0.57,8.35,12.02,6.87,1,1,0,1,1,1,1
Spiced Sea Bass With Caramelised Fennel,0,0,1,0,"butter,chilli,fennel,garlic clove,lemon zest,olive oil,sea bass",0,0,0,0,41.0,48.18,43.46,8.36,692.69,33.0,2.32,14.3,213.04,381.5,2.2,474.67,0.27,0.67,5.78,0.0,1,1,0,1,1,1,1
Striped Bass With Sage And Red-wine Butter,0,0,0,0,"bell pepper,canola oil,coarse salt,garlic,lemon juice,merlot,port,red snapper fillets,red wine vinegar,sage leaves,shallots,unsalted butter,wondra flour",0,0,0,0,39.0,11.48,73.29,15.23,1557.09,122.64,10.34,57.38,83.19,306.96,1.13,422.21,3.39,5.84,4.23,10.53,1,0,1,1,0,1,1
Grilled Striped Bass,0,0,1,1,"coarse salt,garlic cloves,lemon juice,lemon juice,olive oil,pepper,pepper,striped bass,striped bass,thyme sprigs",0,0,0,0,41.0,54.43,43.5,2.07,457.58,21.5,1.97,2.31,139.22,272.16,1.41,429.37,0.12,0.58,0.0,0.0,1,1,0,1,1,1,1
Steamed Asian Sea Bass In The Bag,0,0,1,1,"chillies,coriander,egg white,garlic,ginger,kaffir lime leaves,lemon grass,lime zest,olive oil,sake,sea bass,soy sauce",0,0,0,0,3.0,40.82,49.84,9.34,21.88,1.21,0.0,0.51,5.7,9.07,0.0,43.26,0.0,0.1,0.0,0.0,1,1,0,1,1,1,1
Striped Bass With Lime Butter,0,0,0,0,"canola oil,dry white wine,flour,fresh parsley leaves,heavy cream,kosher salt,lime juice,pan-fried bacon,pepper,red snapper fillets,shallot,unsalted butter",0,0,0,0,3.0,40.82,52.36,6.82,120.22,6.71,0.7,1.97,17.73,30.72,0.41,250.74,0.03,0.14,0.0,0.36,1,1,1,1,0,1,1
"Seared Black Bass with Bitter Greens, Grapefruit and Feta Salad",0,0,1,0,"feta,grapefruits,greens,kalamata olives,kosher salt,olive oil,red grapefruit,red onion,sea bass fillets",0,0,0,0,44.0,31.66,50.19,18.15,453.31,25.5,2.58,20.76,95.03,161.11,1.73,770.15,0.15,12.37,2.97,0.0,1,1,1,1,0,1,1
Broiled Sea Bass with Pineapple-Chili-Basil Glaze,0,0,1,1,"black pepper,crushed red pepper,garlic clove,pineapple preserves,rice vinegar,salt,sea bass,or",0,0,0,0,26.0,60.62,17.97,21.41,209.74,3.99,0.0,10.69,69.22,136.08,0.7,559.53,0.07,7.29,0.0,0.0,1,1,0,1,1,1,1
Pesto-Marinated Striped Bass with Warm Tomatoes,0,0,1,1,"grape tomatoes,kosher salt,pesto,red pepper flakes,striped bass,white wine",0,0,1,0,10.0,52.34,36.82,10.84,72.27,2.66,0.21,1.76,22.41,36.6,0.25,151.52,0.03,1.0,0.47,0.82,1,1,0,1,1,1,1
Sea Bass With Brown Shrimps & Couscous,0,0,0,0,"american cheese,baking mix,banana shallot,barbecue sauce,biscuits,breakfast links,brownie mix,cheese soup,chex party mix,chex party mix,chex party mix,Chocolate Easter Eggs,cooking oil,couscous,dairy free milk,dill,pot roast,fish,flat iron steak,food dye,food dye,food dye,food dye,food dye,food dye,fresh flat-leaf parsley,fruit,golden brown sugar,greek olives,halloween sprinkles,healthy request cream of celery soup,healthy request cream of celery soup,healthy request cream of celery soup,lemon zest,low fat mayo,meat,mexican cream,olive oil,pasta,pie crust,red wine vinegar,root vegetables,sea bass,shrimps,spring mix,steel cut oats,sugar,summer squash,tea,vegan cheese,vegetarian bacon,vegetarian bacon,veggie lunch meat,veggie lunch meat,winter squash,family & kids,oven temperature guide",0,1,0,0,68.0,25.06,35.17,39.77,2996.99,115.47,8.89,293.75,302.44,627.11,18.85,4407.07,1.09,78.08,19.07,0.0,0,0,0,0,1,1,1
Oven-roasted Striped Bass with Peppers,0,0,1,1,"black pepper,chicken broth,fresh rosemary,garlic cloves,green bell pepper,olive oil,onion,oregano,pepper,red bell peppers,salt,striped bass,yellow bell peppers,new",0,1,0,0,72.0,49.98,29.73,20.29,261.52,8.57,1.86,13.15,93.23,136.08,1.12,629.46,0.19,4.45,3.45,0.0,1,1,0,1,1,1,1
Steamed Sea Bass Recipe (thai-style),0,0,1,1,"basmati rice,chillies,coconut milk,coriander,garlic,ginger,juice of lime,lime,sea bass,sea-salt,sesame oil,soy sauce,spring onions,sugar snap peas",0,0,0,0,30.0,28.33,10.71,60.96,338.07,3.95,0.24,50.6,67.49,77.71,1.18,1128.69,0.22,1.47,1.55,0.0,0,1,0,0,1,1,1
Ginger-and-Lemon-Steamed Striped Bass with Fennel Salad,0,0,1,1,"chives,fennel bulb,fresh ginger,kosher salt,lemon,lemon juice,olive oil,striped bass",0,1,0,0,60.0,56.56,37.94,5.5,589.61,24.32,2.0,7.94,195.6,362.87,1.97,538.38,0.2,1.02,2.68,0.0,1,1,0,1,1,1,1
"Roasted Sea Bass With Fennel, Blood Oranges & Olives",0,0,1,1,"bay leaves,black olives,blood oranges,fennel bulbs,garlic cloves,halibut,olive oil,orange juice,orange peel,salt and pepper,wine",0,0,0,0,13.0,51.41,34.5,14.09,109.45,3.48,0.81,3.2,20.67,29.99,0.29,295.46,0.04,1.31,0.54,2.5,1,1,0,1,1,1,1
Grilled Sea Bass with Miso-Mustard Sauce,0,0,1,1,"dijon mustard,green onions,mirin,olive oil,rice vinegar,sea bass fillets,sesame seeds,soy sauce,sugar,water,white miso",0,0,0,0,35.0,30.36,52.01,17.63,392.25,22.75,2.17,17.36,101.94,113.4,1.88,1120.55,0.49,8.04,2.86,0.85,1,1,1,1,0,1,1
Sea Bass With Swiss Chard & Beurre Blanc,0,0,1,0,"banana shallot,butter,coriander seeds,crème fraîche,fennel,fennel seeds,fish stock,lemon,mustard seeds,seabass,star anise,swiss chard,vanilla pod,white balsamic vinegar",0,0,0,0,44.0,24.09,58.61,17.3,618.07,41.24,2.58,27.39,188.4,229.19,1.9,904.98,0.42,5.08,9.65,0.0,1,0,1,1,0,1,1
Whole Striped Bass,0,0,1,1,"black pepper,fresh dill,fresh parsley,kosher salt,lemon,olive oil,onion,striped bass",0,0,0,0,39.0,48.69,42.41,8.9,343.39,16.05,1.67,7.58,105.69,181.44,1.16,3655.29,0.13,2.39,2.12,0.0,1,1,0,1,1,1,1
Roasted Mushroom-Stuffed Striped Bass,0,0,1,0,"bacon,fresh sage,jasmine rice,leek,lemon rind,lemon wedges,mixed mushrooms,olive oil,parsley,pepper,sea salt,snapper fillets,tomato,unsalted butter",0,0,0,0,46.0,32.9,48.75,18.35,597.08,31.93,3.59,27.04,97.65,117.78,2.07,795.71,7.06,2.49,2.58,0.0,1,1,0,1,1,1,1
Pan-Seared Sea Bass in Tomato Fennel Broth,0,0,1,0,"carrot,clam juice,fennel bulb,garlic,grapeseed oil,ground fennel,olive oil,onion,orange juice,salt and pepper,sea bass fillets,sun-dried tomatoes,unsalted butter,white wine",0,1,0,0,72.0,16.57,51.45,31.98,1133.86,66.99,8.95,93.7,313.56,181.23,3.35,1227.67,1.75,52.72,17.09,3.09,0,0,1,0,0,1,1
Grilled Sea Bass Donburi,0,0,0,1,"dashi,eggs,fish,korean marinade,kosher salt,mirin,sugar",0,0,0,0,2.0,30.91,50.02,19.07,155.4,8.49,0.95,7.28,11.26,328.36,1.16,520.89,0.07,5.98,0.0,0.5,1,1,1,1,0,1,1
Whole Striped Bass with Lemon and Mint,0,0,1,1,"garlic clove,green onions,lemon,lemon juice,mint,olive oil,oregano,striped bass",0,1,0,0,55.0,41.9,52.8,5.3,393.74,22.98,2.81,5.19,101.49,181.44,1.05,160.96,0.11,1.11,1.83,0.0,1,1,1,1,0,1,1
Domestic Diva's Sea Bass With Roasted Eggplant Puree & Olive An,1,1,1,1,"black olives,canned tomatoes,eggplant,grapeseed oil,olive oil,salt,salt and pepper",0,0,1,0,15.0,3.43,76.55,20.02,534.8,48.0,10.71,28.24,67.95,0.0,0.75,3054.47,0.41,16.36,14.86,0.0,1,0,1,1,0,1,1
Domestic Diva's Pan Seared Sea Bass With Tarragon Pesto & Chick,0,0,1,1,"chickpeas,fresh tarragon,garlic cloves,grapeseed oil,lemon juice,olive oil,Salt & Pepper,sea bass,walnuts",0,1,0,0,81.0,12.09,56.85,31.06,401.35,26.78,4.46,32.92,108.77,0.8,2.25,209.08,0.62,4.73,8.26,0.0,0,0,1,0,0,1,1
Sautéed Striped Bass with Summer Vegetables,0,0,1,1,"black pepper,carrot,dried thyme,fennel,fresh basil,garlic cloves,olive oil,red onion,salt,squash,striped bass,white wine vinegar,zucchini",0,1,0,0,70.0,50.42,27.55,22.03,256.2,7.78,1.29,14.0,98.3,136.08,1.06,445.0,0.15,4.79,3.24,0.0,1,1,0,1,1,1,1
Spice-Baked Sea Bass and Red Lentils,0,0,1,1,"black pepper,dried green lentils,dried thyme,garlic,ground cumin,ground ginger,kosher salt,lemon juice,olive oil,sea bass fillets,vegetable broth,yellow onion",0,1,0,0,100.0,34.74,20.72,44.54,696.7,15.96,2.12,77.2,216.79,136.08,6.27,1794.61,0.68,6.24,35.62,0.0,0,1,0,0,1,1,1
"Sea Bass with Fennel, Tomato and Orange",0,0,1,1,"canned tomatoes,celery,crushed red pepper,dry white wine,fennel bulb,flat-leaf parsley,olive oil,onion,orange zest,saffron threads,sea bass fillets,sea salt",0,1,0,0,53.0,52.04,28.31,19.65,259.64,7.82,1.32,12.21,96.62,136.08,1.06,432.92,0.22,4.17,3.72,1.55,1,1,0,1,1,1,1
Striped Bass in Agrodolce Sauce,0,0,1,1,"bay leaf,black pepper,dry red wine,farm raised catfish fillet,fennel,golden raisins,olive oil,salt,shallots,sugar,water,white balsamic vinegar",0,0,0,0,2.0,7.94,46.37,45.69,317.87,14.88,2.15,32.98,27.93,11.69,0.49,549.56,0.11,22.46,2.97,4.72,0,0,0,0,1,1,1
Sea Bass and Cucumbers in Champagne Sauce,0,0,1,0,"cream,cucumber,salt,scallions,sea bass fillets,sparkling wine",0,0,0,0,18.0,38.46,56.27,5.27,373.24,20.61,0.53,4.34,90.22,197.21,1.01,433.66,0.12,2.24,0.68,5.66,1,1,1,1,0,1,1
Smoky-Spicy Bass,0,0,1,1,"black bass,cayenne pepper,coriander,granulated garlic,granulated onion,lemon wedges,mustard,parsley leaves,salt and pepper,sweet paprika,vegetable oil",0,0,0,0,11.0,37.68,55.96,6.36,163.3,10.23,0.83,2.62,29.71,53.72,0.67,265.94,0.1,0.31,0.94,0.0,1,1,1,1,0,1,1
Sea Bass alla Fiorentina,0,0,0,1,"black pepper,canned tomatoes,flour,fresh basil leaves,fresh parsley leaves,garlic cloves,olive oil,salt,sea bass,water",0,1,0,0,74.0,29.82,26.84,43.34,521.52,15.38,2.8,55.91,103.76,136.08,1.43,397.72,0.34,4.57,3.72,0.0,0,1,0,0,1,1,1
Shiso Wrapped Bass Dumplings In Dashi,0,0,0,1,"dashi,korean marinade,mirin,mushrooms,salt,scallion,sea bass,shiso leaves,soy sauce,wonton wrappers",0,0,0,0,48.0,50.19,20.32,29.49,407.42,8.94,1.17,29.2,89.42,138.55,1.9,4257.98,0.61,6.11,1.27,1.7,0,1,0,0,1,1,1
Corvina Traditional,0,0,1,1,"aji amarillo paste,celery,cilantro leaves,elk fillet,fresh cilantro,juice,lime juice,maple syrup,red onion,salt,sweet potatoes",0,0,0,0,11.0,31.69,4.59,63.72,228.66,1.16,0.0,36.16,35.69,41.58,2.21,1229.18,0.14,26.95,1.04,0.0,0,1,0,0,1,1,1
Sake Steamed Bass,0,0,0,1,"fresh ginger,kosher salt,limes,long pasta,sake,striped bass",0,0,0,0,21.0,63.56,18.94,17.5,264.75,4.1,0.0,8.52,77.19,136.08,0.77,314.0,0.1,0.71,1.11,9.66,1,1,0,1,1,1,1
"Whole Branzino In Grape Leaves With Zucchini, Olives, And Mint",0,0,1,1,"branzino,coarse salt,fresh mint,grape leaves,green olives,lemons,olive oil,zucchini",0,0,1,0,16.0,57.84,29.82,12.34,73.23,2.44,0.24,2.27,30.57,45.36,0.34,262.01,0.05,1.09,0.82,0.0,1,1,0,1,1,1,1
Grilled Sea Bass With Lemon And Capers,1,1,1,1,"capers,dijon mustard,garlic powder,ground pepper,lemon juice,lemons,olive oil,parsley",0,0,0,0,3.0,1.18,92.63,6.19,170.4,18.13,2.67,2.73,4.87,0.0,0.0,130.44,0.03,0.44,0.49,0.0,1,0,1,1,0,1,1
Seared Sea Bass With Fennel Seeds & Roasted Sweet Potatoes,0,0,1,1,"celery stick,fennel seeds,food dye,olive oil,seabass,sweet potato",0,1,0,0,72.0,30.35,37.68,31.97,438.39,18.2,2.45,34.74,114.41,136.0,1.23,212.36,0.32,7.12,5.51,0.0,0,1,0,0,1,1,1
Blue Corn Crusted Black Bass,0,0,0,0,"black pepper,butter,buttermilk,corn tortilla chips,flour,garlic powder,granulated sugar,juice,red wine vinegar,salt,sea bass fillets,vegetable oil",0,0,0,0,12.0,20.46,49.58,29.96,701.6,38.74,2.3,52.67,131.54,203.42,1.96,28829.18,0.3,22.94,2.18,0.0,0,0,0,0,1,1,1
Pistachio Sea Bass with Crab Salad,0,0,1,1,"coconut,curry powder,egg white,fleur de sel,lime juice,lump crabmeat,pistachio oil,pistachios,scallions,sea-salt,sea bass,vegetable oil",0,0,0,0,28.0,42.33,50.37,7.3,373.98,21.01,0.54,6.85,109.47,137.21,4.47,14924.98,0.83,2.11,2.74,0.0,1,1,1,1,0,1,1
Wild Striped Bass with Scallions and Herb Salad,0,0,1,0,"chives,crushed red pepper,dill,flat leaf parsley leaves,fresh tarragon leaves,kosher salt,lemon juice,lemon zest,mint leaves,olive oil,orange juice,scallions,striped bass,unsalted butter,walnut oil",0,0,0,0,37.0,40.17,49.62,10.21,323.91,17.92,0.93,8.29,103.56,143.6,1.2,331.32,0.16,2.36,2.16,0.0,1,1,0,1,1,1,1
Sea Bass with Tomatoes and Olives,0,0,1,0,"black pepper,butter,chicken broth,dry white wine,fresh thyme,garlic,kalamata olives,kosher salt,lemon peel,olive oil,parsley,quinoa,salmon fillets,sugar,yellow cherry tomatoes",0,0,0,0,39.0,30.16,44.01,25.83,617.59,27.0,2.25,35.67,158.57,116.13,2.9,2538.34,0.83,2.56,4.56,9.27,0,1,0,0,1,1,1
Grilling: Striped Bass with Roasted Salsa,0,0,1,1,"bell pepper,chile powder,cilantro,extra virgin olive oil,garlic cloves,granulated garlic,ground cumin,jalapenos,kosher salt,lime juice,oregano,plum tomatoes,red onion,striped bass",0,1,0,0,100.0,66.73,26.52,6.75,1011.29,28.69,3.47,16.45,393.09,720.0,4.2,836.7,0.41,8.63,4.56,0.0,1,1,0,1,1,1,1
"Salt-Baked Branzino with Citrus, Fennel and Herbs",0,0,1,1,"cilantro,egg whites,fennel bulb,kosher salt,lemon,orange,parsley,rosemary,sea bass",0,0,0,0,39.0,73.43,20.0,6.57,383.98,8.2,0.0,6.06,155.71,272.16,1.83,132205.84,0.26,2.34,1.88,0.0,1,1,0,1,1,0,0
Grilled Sea Bass,0,0,1,0,"butter,extra virgin olive oil,flat leaf parsley,garlic,garlic powder,lemon pepper,onion powder,paprika,sea bass,sea salt",0,0,0,0,11.0,47.98,50.88,1.14,230.71,12.73,0.7,0.64,61.72,136.01,0.64,348.92,0.05,0.04,0.0,0.0,1,1,1,1,0,1,1
Catalan Roasted Sea Bass,0,0,1,1,"black pepper,canned tomatoes,dry white wine,extra virgin olive oil,garlic,kalamata olives,kosher salt,onion,orange zest,oregano,parsley leaves,sea bass",0,1,0,0,56.0,47.29,31.39,21.32,286.55,9.7,2.35,14.82,100.51,136.0,1.15,595.19,0.3,7.34,3.63,1.55,1,1,0,1,1,1,1
Spicy Butter-Steamed Bass,0,0,1,0,"cilantro leaves,fresh ginger,garlic clove,juice of lime,red snapper fillets,salt and pepper,serrano chile,unsalted butter",0,0,0,0,23.0,55.33,42.69,1.98,304.46,14.05,2.27,1.46,66.1,103.53,0.76,323.22,0.07,0.25,0.0,0.0,1,1,0,1,1,1,1
Miso And Soy Chilean Sea Bass,0,0,1,1,"brown sugar,green onion,mirin,Miso Soybean Paste,sake,sea bass fillets,soy sauce",0,0,0,0,10.0,38.64,14.4,46.96,272.62,4.04,0.0,29.62,64.8,90.72,1.12,1841.87,0.16,19.69,1.42,5.19,0,1,0,0,1,1,1
Whole Black Bass with Ginger and Scallions,0,0,1,1,"fresh ginger,light soy sauce,salt,scallions,sea bass,sugar,vegetable oil",0,0,0,0,27.0,69.19,28.85,1.96,186.27,5.73,0.0,0.88,71.72,136.08,0.72,640.36,0.07,0.32,0.0,0.0,1,1,0,1,1,1,1
Roasted Striped Bass With Chive And Sour Cream Sauce,0,0,1,0,"chive,fresh chives,garlic,lemon,lemon juice,salt,sour cream,striped bass,vegetable oil,water",0,0,0,0,32.0,45.82,46.67,7.51,232.41,12.04,0.32,4.36,68.7,126.69,0.81,216.8,0.09,1.61,0.99,0.0,1,1,0,1,1,1,1
"Roasted Bass with Potatoes, Onions and Fennel",0,0,1,1,"fennel bulb,idaho potatoes,lemon juice,olive oil,olive oil,red bell peppers,salt and pepper,sesame seeds,striped bass,water,white onions",0,1,0,0,90.0,31.98,25.2,42.82,450.64,12.73,1.68,48.66,137.19,136.08,1.61,369.42,0.35,5.67,6.98,0.0,0,1,0,0,1,1,1
Sea Bass With Shiitake Mushroom Butter,0,0,1,0,"chillies,garlic cloves,light soy sauce,mirin,sea bass fillets,shiitake mushrooms,spring onions,unsalted butter",0,1,0,0,70.0,69.15,27.78,3.07,1942.49,57.49,0.72,14.3,741.83,1480.31,7.81,1886.35,0.68,6.82,2.0,1.7,1,1,0,1,1,1,1
Steamed Wild Striped Bass with Ginger and Scallions,0,0,0,1,"cilantro,fermented black beans,fresh ginger,jalapenos,rice wine,salt and pepper,scallions,sesame oil,soy sauce,striped bass,sugar,vegetable oil",0,0,0,0,26.0,65.44,26.47,8.09,212.0,5.82,0.38,4.0,78.55,136.08,0.81,1173.19,0.09,1.89,0.78,1.21,1,1,0,1,1,1,1
Grilled Bass with Green Tomato and Watermelon Salsa,0,0,1,1,"fresh cilantro,green tomatoes,lime juice,olive oil,red onion,salt,striped bass,thai chile,watermelon",0,0,0,0,39.0,56.63,31.24,12.13,223.92,7.62,0.69,6.65,77.91,136.08,0.78,414.52,0.11,4.7,0.91,0.0,1,1,0,1,1,1,1
